Detector Type,Descriptor Type,TTC Lidar, TTC Camera,diff
SHITOMASI,SIFT,12.059,11.6077,0.4513
SHITOMASI,SIFT,11.8642,12.8514,0.9872
SHITOMASI,SIFT,11.9682,11.3267,0.641499999999999
SHITOMASI,SIFT,9.88711,11.848,1.96089
SHITOMASI,SIFT,9.42504,12.5595,3.13446
SHITOMASI,SIFT,9.30215,11.7236,2.42145
SHITOMASI,SIFT,8.3212,10.3753,2.0541
SHITOMASI,SIFT,8.89867,11.0637,2.16503
SHITOMASI,SIFT,11.0301,12.4084,1.3783
SHITOMASI,SIFT,8.53557,10.7642,2.22863
HARRIS,BRISK,12.2891,12.5115,0.2224
HARRIS,BRISK,13.3547,10.846,2.5087
HARRIS,BRISK,16.3845,12.5469,3.8376
HARRIS,BRISK,14.0764,12.9602,1.1162
HARRIS,BRISK,12.7299,12.5715,0.1584
HARRIS,BRISK,13.7511,12.1467,1.6044
HARRIS,BRISK,13.7314,17.5527,3.8213
HARRIS,BRISK,13.7901,13.0324,0.7577
HARRIS,BRISK,12.059,12.6681,0.609100000000002
HARRIS,BRISK,11.8642,13.0515,1.1873
HARRIS,BRISK,11.9682,13.0842,1.116
HARRIS,BRISK,9.88711,12.2258,2.33869
HARRIS,BRISK,9.42504,13.0123,3.58726
HARRIS,BRISK,9.30215,12.1074,2.80525
HARRIS,BRISK,8.3212,nan,#VALUE!
HARRIS,BRISK,8.89867,13.9876,5.08893
HARRIS,BRISK,11.0301,8.89196,2.13814
HARRIS,BRISK,8.53557,14.1393,5.60373
HARRIS,BRIEF,12.2891,11.9008,0.388299999999999
HARRIS,BRIEF,13.3547,11.2603,2.0944
HARRIS,BRIEF,16.3845,13.3461,3.0384
HARRIS,BRIEF,14.0764,13.7344,0.341999999999999
HARRIS,BRIEF,12.7299,11.654,1.0759
HARRIS,BRIEF,13.7511,11.2431,2.508
HARRIS,BRIEF,13.7314,16.0508,2.3194
HARRIS,BRIEF,13.7901,11.2383,2.5518
HARRIS,BRIEF,12.059,12.6147,0.5557
HARRIS,BRIEF,11.8642,12.7931,0.928900000000001
HARRIS,BRIEF,11.9682,12.8,0.831800000000001
HARRIS,BRIEF,9.88711,7.70589,2.18122
HARRIS,BRIEF,9.42504,11.6118,2.18676
HARRIS,BRIEF,9.30215,11.7417,2.43955
